county,state,fipscounty,fipsstate,overdose_deaths,year
HICKMAN,TN,47081,47,3,2017
HICKMAN,TN,47081,47,8,2018
HOUSTON,TN,47083,47,2,2015
HOUSTON,TN,47083,47,2,2016
HOUSTON,TN,47083,47,1,2017
HOUSTON,TN,47083,47,2,2018
HUMPHREYS,TN,47085,47,4,2015
HUMPHREYS,TN,47085,47,2,2016
HUMPHREYS,TN,47085,47,4,2017
HUMPHREYS,TN,47085,47,1,2018
JACKSON,TN,47087,47,3,2015
JACKSON,TN,47087,47,4,2016
JACKSON,TN,47087,47,2,2017
JACKSON,TN,47087,47,2,2018
JEFFERSON,TN,47089,47,2,2015
JEFFERSON,TN,47089,47,3,2016
JEFFERSON,TN,47089,47,7,2017
JEFFERSON,TN,47089,47,5,2018
JOHNSON,TN,47091,47,3,2015
JOHNSON,TN,47091,47,1,2016
JOHNSON,TN,47091,47,1,2017
JOHNSON,TN,47091,47,1,2018
KNOX,TN,47093,47,122,2015
KNOX,TN,47093,47,147,2016
KNOX,TN,47093,47,196,2017
KNOX,TN,47093,47,218,2018
LAKE,TN,47095,47,0,2015
LAKE,TN,47095,47,0,2016
LAKE,TN,47095,47,0,2017
LAKE,TN,47095,47,0,2018
LAUDERDALE,TN,47097,47,0,2015
LAUDERDALE,TN,47097,47,5,2016
LAUDERDALE,TN,47097,47,2,2017
LAUDERDALE,TN,47097,47,2,2018
LAWRENCE,TN,47099,47,2,2015
LAWRENCE,TN,47099,47,5,2016
LAWRENCE,TN,47099,47,7,2017
LAWRENCE,TN,47099,47,7,2018
LEWIS,TN,47101,47,0,2015
LEWIS,TN,47101,47,0,2016
LEWIS,TN,47101,47,2,2017
LEWIS,TN,47101,47,1,2018
LINCOLN,TN,47103,47,2,2015
LINCOLN,TN,47103,47,5,2016
LINCOLN,TN,47103,47,4,2017
LINCOLN,TN,47103,47,7,2018
LOUDON,TN,47105,47,9,2015
LOUDON,TN,47105,47,12,2016
LOUDON,TN,47105,47,18,2017
LOUDON,TN,47105,47,7,2018
MC MINN,TN,47107,47,4,2015
MC MINN,TN,47107,47,5,2016
MC MINN,TN,47107,47,6,2017
MC MINN,TN,47107,47,4,2018
MC NAIRY,TN,47109,47,9,2015
MC NAIRY,TN,47109,47,3,2016
MC NAIRY,TN,47109,47,3,2017
MC NAIRY,TN,47109,47,0,2018
MACON,TN,47111,47,3,2015
MACON,TN,47111,47,5,2016
MACON,TN,47111,47,2,2017
MACON,TN,47111,47,2,2018
MADISON,TN,47113,47,5,2015
MADISON,TN,47113,47,7,2016
MADISON,TN,47113,47,12,2017
MADISON,TN,47113,47,5,2018
MARION,TN,47115,47,3,2015
MARION,TN,47115,47,3,2016
MARION,TN,47115,47,2,2017
MARION,TN,47115,47,1,2018
MARSHALL,TN,47117,47,5,2015
MARSHALL,TN,47117,47,10,2016
MARSHALL,TN,47117,47,6,2017
MARSHALL,TN,47117,47,5,2018
MAURY,TN,47119,47,11,2015
MAURY,TN,47119,47,15,2016
MAURY,TN,47119,47,12,2017
MAURY,TN,47119,47,18,2018
MEIGS,TN,47121,47,0,2015
MEIGS,TN,47121,47,1,2016
MEIGS,TN,47121,47,2,2017
MEIGS,TN,47121,47,0,2018
MONROE,TN,47123,47,6,2015
MONROE,TN,47123,47,6,2016
MONROE,TN,47123,47,5,2017
MONROE,TN,47123,47,8,2018
MONTGOMERY,TN,47125,47,24,2015
MONTGOMERY,TN,47125,47,15,2016
MONTGOMERY,TN,47125,47,22,2017
MONTGOMERY,TN,47125,47,40,2018
MOORE,TN,47127,47,0,2015
MOORE,TN,47127,47,0,2016
MOORE,TN,47127,47,1,2017
MOORE,TN,47127,47,1,2018
MORGAN,TN,47129,47,10,2015
MORGAN,TN,47129,47,6,2016
MORGAN,TN,47129,47,3,2017
MORGAN,TN,47129,47,3,2018
OBION,TN,47131,47,2,2015
OBION,TN,47131,47,1,2016
OBION,TN,47131,47,0,2017
OBION,TN,47131,47,3,2018
OVERTON,TN,47133,47,4,2015
OVERTON,TN,47133,47,6,2016
OVERTON,TN,47133,47,5,2017
OVERTON,TN,47133,47,5,2018
PERRY,TN,47135,47,0,2015
PERRY,TN,47135,47,0,2016
PERRY,TN,47135,47,1,2017
PERRY,TN,47135,47,0,2018
PICKETT,TN,47137,47,0,2015
PICKETT,TN,47137,47,0,2016
PICKETT,TN,47137,47,1,2017
PICKETT,TN,47137,47,1,2018
POLK,TN,47139,47,3,2015
POLK,TN,47139,47,2,2016
POLK,TN,47139,47,2,2017
POLK,TN,47139,47,0,2018
PUTNAM,TN,47141,47,12,2015
PUTNAM,TN,47141,47,10,2016
PUTNAM,TN,47141,47,10,2017
PUTNAM,TN,47141,47,8,2018
RHEA,TN,47143,47,3,2015
RHEA,TN,47143,47,3,2016
RHEA,TN,47143,47,4,2017
RHEA,TN,47143,47,2,2018
ROANE,TN,47145,47,15,2015
ROANE,TN,47145,47,21,2016
ROANE,TN,47145,47,16,2017
ROANE,TN,47145,47,25,2018
ROBERTSON,TN,47147,47,12,2015
ROBERTSON,TN,47147,47,9,2016
ROBERTSON,TN,47147,47,15,2017
ROBERTSON,TN,47147,47,10,2018
RUTHERFORD,TN,47149,47,44,2015
RUTHERFORD,TN,47149,47,45,2016
RUTHERFORD,TN,47149,47,48,2017
RUTHERFORD,TN,47149,47,68,2018
SCOTT,TN,47151,47,4,2015
SCOTT,TN,47151,47,1,2016
SCOTT,TN,47151,47,2,2017
SCOTT,TN,47151,47,1,2018
SEQUATCHIE,TN,47153,47,2,2015
SEQUATCHIE,TN,47153,47,3,2016
SEQUATCHIE,TN,47153,47,3,2017
SEQUATCHIE,TN,47153,47,3,2018
SEVIER,TN,47155,47,18,2015
SEVIER,TN,47155,47,17,2016
SEVIER,TN,47155,47,24,2017
SEVIER,TN,47155,47,38,2018
SHELBY,TN,47157,47,135,2015
SHELBY,TN,47157,47,150,2016
SHELBY,TN,47157,47,159,2017
SHELBY,TN,47157,47,123,2018
SMITH,TN,47159,47,5,2015
SMITH,TN,47159,47,8,2016
SMITH,TN,47159,47,2,2017
SMITH,TN,47159,47,3,2018
STEWART,TN,47161,47,1,2015
STEWART,TN,47161,47,1,2016
STEWART,TN,47161,47,0,2017
STEWART,TN,47161,47,6,2018
SULLIVAN,TN,47163,47,23,2015
SULLIVAN,TN,47163,47,36,2016
SULLIVAN,TN,47163,47,29,2017
SULLIVAN,TN,47163,47,43,2018
SUMNER,TN,47165,47,18,2015
SUMNER,TN,47165,47,21,2016
SUMNER,TN,47165,47,28,2017
SUMNER,TN,47165,47,33,2018
TIPTON,TN,47167,47,12,2015
TIPTON,TN,47167,47,16,2016
TIPTON,TN,47167,47,12,2017
TIPTON,TN,47167,47,12,2018
TROUSDALE,TN,47169,47,0,2015
TROUSDALE,TN,47169,47,0,2016
TROUSDALE,TN,47169,47,2,2017
TROUSDALE,TN,47169,47,7,2018
UNICOI,TN,47171,47,3,2015
UNICOI,TN,47171,47,5,2016
UNICOI,TN,47171,47,7,2017
UNICOI,TN,47171,47,5,2018
UNION,TN,47173,47,3,2015
UNION,TN,47173,47,6,2016
UNION,TN,47173,47,4,2017
UNION,TN,47173,47,2,2018
VAN BUREN,TN,47175,47,0,2015
VAN BUREN,TN,47175,47,3,2016
VAN BUREN,TN,47175,47,0,2017
VAN BUREN,TN,47175,47,1,2018
WARREN,TN,47177,47,5,2015
WARREN,TN,47177,47,5,2016
WARREN,TN,47177,47,1,2017
WARREN,TN,47177,47,4,2018
WASHINGTON,TN,47179,47,17,2015
WASHINGTON,TN,47179,47,30,2016
WASHINGTON,TN,47179,47,24,2017
WASHINGTON,TN,47179,47,9,2018
WAYNE,TN,47181,47,3,2015
WAYNE,TN,47181,47,1,2016
WAYNE,TN,47181,47,0,2017
WAYNE,TN,47181,47,4,2018
WEAKLEY,TN,47183,47,4,2015
WEAKLEY,TN,47183,47,4,2016
WEAKLEY,TN,47183,47,1,2017
WEAKLEY,TN,47183,47,5,2018
WHITE,TN,47185,47,7,2015
WHITE,TN,47185,47,8,2016
WHITE,TN,47185,47,0,2017
WHITE,TN,47185,47,4,2018
WILLIAMSON,TN,47187,47,21,2015
WILLIAMSON,TN,47187,47,19,2016
WILLIAMSON,TN,47187,47,24,2017
WILLIAMSON,TN,47187,47,30,2018
WILSON,TN,47189,47,26,2015
WILSON,TN,47189,47,27,2016
WILSON,TN,47189,47,26,2017
WILSON,TN,47189,47,19,2018
